,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15
epoch_0,uid_61994,2186,58559,1527,2968,4011,1201,3089,4226,1095,922,8501,1208,8477,59315,5995
epoch_0,uid_220944,913,3089,2804,1036,3677,50,608,1225,1089,1090,4262,1172,1704,1213,1197
epoch_0,uid_217345,260,2571,858,1225,3435,1147,31658,1196,246,5690,50,913,1213,356,2959
epoch_0,uid_27622,1208,908,272,924,58,1213,4973,912,1203,2019,2973,1276,1247,750,44555
epoch_0,uid_56931,1090,1213,913,750,44555,1233,2186,1228,7156,1225,1178,858,1252,1203,3435
epoch_0,uid_104272,293,953,4973,246,318,858,7090,1234,1225,4993,2858,50,913,1201,3260
epoch_0,uid_33800,527,1225,1178,246,318,296,3435,2804,1213,7156,858,1172,6016,2959,1222
epoch_0,uid_281617,2571,318,246,908,858,3435,5690,608,260,1198,1090,1193,2324,1225,7090
epoch_0,uid_40731,2731,7156,3949,3089,1617,1203,3435,8477,1147,246,1233,922,1945,1225,1252
epoch_0,uid_136711,916,1284,922,1945,246,953,7156,3089,74458,6016,750,931,1293,48516,97
epoch_0,uid_268871,858,750,3435,246,1252,4226,50,318,296,5690,1233,909,1213,3089,2959
epoch_0,uid_189178,260,7099,5690,593,3435,922,527,7156,1198,1178,246,2019,1196,953,1222
epoch_0,uid_130018,527,922,3424,246,1208,1284,1732,50,913,1089,1201,58559,3000,318,7156
epoch_0,uid_235991,293,5690,858,246,109374,7090,8477,4993,3089,913,1203,750,3435,1080,1252
epoch_0,uid_131340,913,7156,4226,3435,1233,1203,246,318,2019,2959,1252,1298,1172,1267,3362
epoch_0,uid_63548,1213,246,88129,50,4226,5690,318,8477,1228,1210,1237,916,1252,750,7156
epoch_0,uid_31069,858,3435,913,909,1272,1147,31658,1233,2804,7153,953,5878,800,1252,92259
epoch_0,uid_142845,5418,318,26662,4327,67255,1960,134853,1248,49530,326,741,745,1147,1250,750
epoch_0,uid_105700,608,72226,1178,1272,8477,2186,922,48738,1276,745,51255,1172,7156,3260,913
epoch_0,uid_100483,913,50,7090,7156,1147,909,2804,1197,318,1193,1252,1276,1225,922,527
epoch_0,uid_222075,246,318,1172,922,1233,1147,1197,7156,2028,50,31658,928,4993,899,1225
epoch_0,uid_96246,246,5690,1233,1172,4993,68157,858,913,71033,4144,293,1284,909,1197,3083
epoch_0,uid_72909,527,7090,3435,1225,858,318,293,1252,7156,1203,922,1272,8477,31658,909
epoch_0,uid_182086,2700,1207,1234,7099,1284,1233,1296,1267,4681,4011,6620,3317,1298,1175,2921
epoch_0,uid_117499,1225,318,31658,1252,2959,1203,50,1250,1243,8477,608,858,246,908,2804
epoch_0,uid_59069,904,913,8228,541,1266,475,1234,5222,3246,6787,138208,800,3083,246,6331
epoch_0,uid_144392,3671,858,1221,953,246,319,750,553,1201,1090,58559,1291,1178,4223,1240
epoch_0,uid_281750,922,1945,913,1193,1178,1172,260,1203,858,541,904,1276,930,7156,908
epoch_0,uid_185517,913,1284,1252,909,7099,1197,1219,7156,31658,1178,7090,2804,1233,4848,527
epoch_0,uid_172268,110,922,1225,1276,7156,5690,1178,7099,899,2324,593,246,31658,1284,1213
epoch_0,uid_139375,1198,3317,2997,78499,2132,1212,1258,1210,1214,913,912,2731,5878,246,2318
epoch_0,uid_160160,6016,110,246,3435,1178,922,913,1225,7156,3089,1272,5690,1203,750,1276
epoch_0,uid_182191,3435,527,7090,7156,1203,1252,1147,318,1213,2324,913,3578,2804,4327,1617
epoch_0,uid_81722,1060,1203,3260,1199,1200,923,1201,280,165551,33794,4681,1207,1198,272,924
epoch_0,uid_150316,919,3089,8477,903,1219,858,7156,1276,1172,6016,1252,628,750,272,1234
epoch_0,uid_31272,1198,1225,5690,50,1233,48516,246,527,2028,31658,1193,2571,1213,1147,318
epoch_0,uid_218205,7099,272,8638,1198,5690,1147,49272,1203,7323,48516,475,3435,109374,318,60069
epoch_0,uid_45982,2959,913,1233,909,50,318,3435,1225,2019,72226,246,48516,2324,55820,4973
epoch_0,uid_99179,246,527,2028,1276,913,858,1201,3000,1172,1225,58559,953,994,293,3435
epoch_0,uid_43327,318,858,1221,1222,1225,296,31658,1178,1203,5992,246,3435,2959,1276,922
epoch_0,uid_280064,858,1221,1225,2804,1089,246,5690,1217,296,3435,3083,1213,3677,7156,318
epoch_0,uid_200192,246,913,3435,2324,858,1200,922,1198,1089,48516,2019,930,1221,1252,909
epoch_0,uid_24122,3435,1252,5690,750,2959,909,4226,1219,7156,1201,1253,1260,50,913,8477
epoch_0,uid_113552,1193,1207,1284,4262,1172,1201,1219,1527,318,50,1267,8874,1537,858,31658
epoch_0,uid_175763,260,272,1178,1252,1196,1147,1219,5878,1674,1225,1250,111,1172,913,1198
epoch_0,uid_39959,1233,515,5971,3435,2804,1249,1464,909,913,8638,3000,5690,2324,6283,7099
epoch_0,uid_63238,909,1233,2395,318,50,913,92259,3435,7156,246,541,7099,1178,3000,908
epoch_0,uid_249529,318,750,922,272,246,7156,1199,475,914,1203,1178,2324,1172,1196,926
epoch_0,uid_748,5690,3006,246,912,858,7156,913,923,1300,750,2571,1252,922,930,1225
epoch_0,uid_215763,750,293,858,1196,1203,296,2959,48516,1210,246,5690,1272,8477,50,1200
epoch_0,uid_231551,364,6016,527,109487,6787,1252,954,541,3424,6003,515,3435,608,3471,5878
epoch_0,uid_110271,31658,7090,1233,1178,5971,8477,534,26082,1193,6283,2677,1199,31410,2731,7156
epoch_0,uid_101429,3435,913,858,318,246,1233,3677,1222,8477,2959,296,50,4226,922,47
epoch_0,uid_52650,246,913,50,2959,2324,3677,1203,2571,1221,1208,1213,2019,1147,1036,58
epoch_0,uid_197193,31658,1233,922,593,608,246,296,527,2858,7156,1252,7099,260,1222,47
epoch_0,uid_225970,1233,3089,1172,8477,1203,1196,4993,1276,922,1201,2395,1230,5952,527,1252
epoch_0,uid_33926,6016,922,1276,1080,260,1203,318,913,1178,3435,246,1253,1950,2804,5690
epoch_0,uid_150251,318,260,5690,1199,1196,527,1193,2571,924,858,293,1208,246,922,1147
epoch_0,uid_103854,5690,527,296,1252,246,50,8477,913,1284,858,1197,318,1178,1276,2804
epoch_0,uid_132779,50,1262,318,7090,246,5878,1276,1172,1089,27815,913,1284,55247,2329,44555
epoch_0,uid_212322,318,527,1276,31658,6283,272,7090,7099,1198,1617,50,1252,1197,3000,1250
epoch_0,uid_36770,3435,1147,246,608,1233,994,3006,1172,3089,7361,1272,909,898,534,1262
epoch_0,uid_261637,908,1219,926,74458,3671,2731,82,1278,3435,8638,1276,7156,2324,1203,1193
epoch_0,uid_90215,246,913,1178,2804,750,1193,2959,2186,7156,1206,1250,50,1233,109487,1252
epoch_0,uid_241744,7156,318,2918,750,47,8477,1203,50,1252,7099,953,1206,909,1267,916
epoch_0,uid_91531,8477,1225,318,2804,2959,1252,3677,7090,50,593,296,5618,1234,903,1090
epoch_0,uid_180501,3435,31658,1225,3578,953,110,4144,2959,1090,3424,2804,7153,198,7090,79132
epoch_0,uid_165104,296,1178,318,1222,858,246,1221,1208,50,1276,2959,922,3578,750,1219
epoch_0,uid_215924,318,1203,246,858,913,47,1221,296,293,7156,1193,1225,1172,527,1250
epoch_0,uid_217725,858,909,50,7156,1252,246,2804,913,1228,69529,1231,1234,296,7090,953
epoch_0,uid_101446,50,913,527,246,1198,858,1252,7099,31658,3089,1196,1225,272,1298,1197
epoch_0,uid_114166,246,3435,7156,31658,8477,1233,1172,1147,1217,3677,3089,2731,1617,2918,909
epoch_0,uid_283021,318,1233,1219,3435,913,3000,750,2731,903,1449,1213,904,7156,1252,50
epoch_0,uid_216895,1203,260,7090,2324,1172,595,5618,1196,31658,2804,318,1274,3677,356,110
epoch_0,uid_197753,7156,5690,272,2318,1225,318,246,2917,6283,2324,2731,1220,1172,8983,1193
epoch_0,uid_23256,2324,1225,7156,913,1250,3435,899,246,2804,5971,1203,2731,750,1233,3677
epoch_0,uid_205381,3083,318,5618,1225,913,1234,1252,3435,1233,858,750,1228,4973,1260,2731
epoch_0,uid_177880,246,7156,3000,1293,1237,2324,1196,922,475,1203,527,3089,272,913,1254
epoch_0,uid_66317,7099,527,48516,50,246,31658,7156,4027,913,1704,2959,8477,1089,608,4226
epoch_0,uid_125895,1203,913,3435,246,47,2959,7156,908,858,1252,2324,293,7090,909,1147
epoch_0,uid_134074,246,318,858,5618,2804,1225,922,527,3000,1201,33794,1276,31658,7099,3424
epoch_0,uid_275976,246,858,1221,3435,2959,1203,3089,1172,1178,720,47,7099,922,1201,58559
epoch_0,uid_208916,318,1172,246,475,913,1196,47,2571,3089,1203,926,1250,5618,928,6016
epoch_0,uid_83617,1225,1234,1252,7156,2804,1178,1172,608,50,527,58,4144,246,1090,6016
epoch_0,uid_75949,296,2959,5690,1217,750,318,858,527,1222,1178,246,1201,953,1197,5618
epoch_0,uid_221587,3435,1203,1208,913,908,5690,2019,1250,1193,1213,1253,2571,1178,541,260
epoch_0,uid_30248,1252,858,912,31658,318,1213,50,296,1136,111,1201,4226,527,1250,1178
epoch_0,uid_102299,246,31658,1274,515,7156,7090,858,1545,5690,1090,69529,2804,1217,750,26729
epoch_0,uid_44466,7156,1252,3435,527,1213,1222,7090,260,922,1284,1208,1276,1225,1254,4432
epoch_0,uid_38872,7090,50,246,318,4144,2804,3000,5618,909,5992,608,589,1225,916,1221
epoch_0,uid_243269,246,922,5690,1225,1199,1217,3089,5971,3435,31658,994,2019,2804,1284,7156
epoch_0,uid_624,922,1225,246,1252,7090,969,2959,47,1250,1201,994,50,74458,2571,1237
epoch_0,uid_21095,318,5690,3435,2959,110,4235,3201,31658,953,165551,1214,2571,913,858,4226
epoch_0,uid_238153,50,5618,246,1276,2959,296,1222,593,608,913,1201,2731,7156,908,4973
epoch_0,uid_139455,527,2959,318,1213,2019,913,246,2020,7090,293,3000,1178,5971,515,1217
epoch_0,uid_195785,246,858,1233,3435,913,50,2804,7156,1252,904,318,3083,909,750,3246
epoch_0,uid_181575,1284,916,4011,1262,3089,1276,2502,31658,3671,3868,928,1732,246,3435,1090
epoch_0,uid_106046,318,246,1704,750,7090,1178,1193,1225,858,1172,1203,2804,1197,1213,1276
epoch_0,uid_86616,7156,1233,318,1203,1193,246,1234,1945,908,608,1225,2324,272,3435,1172
epoch_0,uid_207160,858,7156,750,3435,2731,1252,47,246,913,1219,904,1203,2959,1225,111
epoch_0,uid_89181,246,1213,1198,5690,527,318,750,3435,1217,7090,1172,3006,3578,3677,1203
epoch_0,uid_81149,246,1203,7156,3435,2019,7099,913,3089,953,1252,1172,922,1284,1147,5690
epoch_0,uid_71028,272,922,164179,31658,3435,74458,1234,3000,1233,1090,527,1260,7099,1210,1197
epoch_0,uid_174431,913,31658,246,527,4993,7156,1617,2804,356,318,3000,858,3677,953,1199
epoch_0,uid_250858,1203,31658,5971,72226,6283,1225,2324,7256,356,92259,27815,112552,913,589,1674
epoch_0,uid_246736,2804,246,858,1704,2285,110,800,3083,1221,994,272,296,1224,608,1219
epoch_0,uid_2175,50,1221,2959,48516,1217,527,91529,318,2028,628,293,7153,296,7090,3911
epoch_0,uid_114220,1198,858,6016,1213,527,913,922,3435,1233,318,1090,3089,272,58559,1136
epoch_0,uid_128879,5690,7156,593,55052,1193,1147,1213,858,142488,745,2731,1225,1172,1288,922
epoch_0,uid_128927,2959,3271,953,345,1253,2019,3911,1283,44665,1250,1254,1276,7156,272,1217
epoch_0,uid_184291,318,750,3435,1172,5618,8477,4226,2804,922,3677,1252,3424,1203,246,953
epoch_0,uid_262921,858,246,1193,296,318,5690,7156,922,1225,1178,1136,1233,1213,3677,1221
epoch_0,uid_193187,1213,2019,913,1178,7090,1276,246,954,1233,1089,1221,3006,1617,2324,82
epoch_0,uid_77987,318,246,858,1217,527,293,296,2571,1225,1233,608,1260,922,5618,750
epoch_0,uid_32838,50,1225,318,5618,2804,527,1178,2858,1193,260,5690,858,926,908,2028
epoch_0,uid_267855,50,318,2959,1252,1222,7156,1276,913,1172,858,2324,1225,2019,8477,741
epoch_0,uid_64205,272,2731,318,246,1272,82,1199,1178,7099,913,7156,858,3201,48516,527
epoch_0,uid_120868,1225,44555,1213,318,3435,2959,48738,1276,1209,2324,3307,953,1201,1219,1259
epoch_0,uid_115063,1213,8477,3677,5618,4144,913,1178,1208,1221,1252,1617,3435,922,954,1250
epoch_0,uid_88240,2019,3949,246,1254,2959,3386,7090,1276,922,5992,3089,3421,1217,4027,1172
epoch_0,uid_227663,3435,1233,246,750,2731,1178,3578,904,2357,916,260,3152,913,1234,1241
epoch_0,uid_67746,318,5690,3435,1252,913,922,1136,1208,750,1213,7156,1945,1253,1178,1147
epoch_0,uid_205335,318,356,2318,2194,1206,246,1178,1217,741,2329,1288,296,1201,3334,8228
epoch_0,uid_246479,593,1198,858,913,246,750,1210,296,1252,1147,260,3435,1219,1213,1196
epoch_0,uid_161849,318,8477,31658,1276,1225,7156,246,1201,3435,82,272,1178,1193,3089,177765
epoch_0,uid_252243,246,1221,318,903,475,3671,916,3911,1252,92259,904,1203,1213,926,1945
epoch_0,uid_266395,858,1225,1276,1147,111,1172,2858,58559,1234,1213,909,7090,4144,44555,5690
epoch_0,uid_8354,5952,1234,858,3435,50,4993,2997,3677,1221,1213,515,2395,1228,246,1222
epoch_0,uid_264276,2324,318,296,1196,858,3713,260,913,7090,1276,928,31658,1252,3578,272
epoch_0,uid_195677,246,31658,1178,527,7156,1225,50,1252,922,1233,1203,741,54286,7090,1172
epoch_0,uid_174641,110,593,913,50,246,527,2324,3435,7090,7156,1225,318,1147,1178,2858
epoch_0,uid_238158,750,260,1198,1203,1196,246,2571,908,1178,1250,74458,5690,318,1217,50
epoch_0,uid_248303,1233,527,318,858,5878,31658,5690,1230,741,1089,1250,3435,1172,913,1225
epoch_0,uid_113468,1,1222,1254,1253,1252,8665,1250,1248,8961,1244,1243,142488,1237,1234,1233
epoch_0,uid_45137,246,2324,50,2959,608,1203,1219,318,1225,7090,527,1172,1178,750,5618
epoch_0,uid_15975,318,1213,1276,1198,1178,5690,593,7099,1090,3435,31658,1193,750,4326,44555
epoch_0,uid_14547,5690,1196,318,246,953,858,1225,5992,1136,50,1221,2761,260,296,7099
epoch_0,uid_85568,1225,2324,858,318,7090,7156,1090,4973,5618,1284,1222,2019,924,3677,1272
epoch_0,uid_243580,527,3435,913,1090,1225,4226,608,1234,908,1201,2858,1213,953,2019,1212
epoch_0,uid_244349,1225,922,246,3435,1233,1283,7139,1284,994,527,1178,1234,1221,7156,1090
epoch_0,uid_103014,1178,246,3089,909,1203,969,1284,7099,3435,4011,318,1221,1225,3578,7156
epoch_0,uid_278711,246,2324,7090,7156,930,3000,1233,1449,475,909,904,1278,1178,50,1217
epoch_0,uid_55391,318,858,1208,913,1233,31658,2028,1198,2804,296,2324,6874,272,58,1234
epoch_0,uid_256508,246,7156,1178,31658,318,7099,2329,1203,5971,8961,2324,5008,1276,1250,4963
epoch_0,uid_80107,5690,17,930,750,1080,89904,3089,3677,246,1225,1228,1949,908,954,923
epoch_0,uid_46062,50,909,7156,8477,750,858,1213,4226,1276,1267,1225,296,2804,1233,589
epoch_0,uid_93110,527,3435,1212,31658,913,5992,115617,58559,1298,165551,1234,115713,3424,5618,5690
epoch_0,uid_49237,296,318,750,50,293,246,913,527,2959,31878,1203,5618,1222,3435,953
epoch_0,uid_125454,318,858,913,1203,2019,3435,2959,1225,750,2324,47,2804,1221,1172,4848
epoch_0,uid_206724,589,318,1203,2395,593,74458,2324,50,1233,272,293,4027,2731,800,1244
epoch_0,uid_185779,296,858,913,2804,2324,1201,1197,7156,5690,3578,246,92259,5971,50,3435
epoch_0,uid_118134,260,318,5952,1147,7153,50,1196,913,3435,608,6016,272,47,1210,7156
epoch_0,uid_106444,858,1198,1213,1178,58559,527,1225,246,3435,912,2324,318,1203,7156,1252
epoch_0,uid_161274,3435,2019,1213,74458,800,82,27,2357,81847,55820,2731,913,1089,6163,3000
epoch_0,uid_163617,246,2858,7156,50,3435,1234,1203,296,858,4144,912,916,7099,1252,1449
epoch_0,uid_108491,527,3435,318,1213,912,1617,1225,5618,858,246,6016,4973,3089,293,2959
epoch_0,uid_138559,1284,8477,4226,50,926,527,741,1213,593,913,750,1178,1250,318,2731
epoch_0,uid_28128,8477,1276,1172,909,913,541,922,2731,1203,1361,1225,1201,1200,1253,2019
epoch_0,uid_3141,527,50,1252,913,2804,5618,3435,111,1284,1080,4226,7156,930,922,2019
epoch_0,uid_224299,44555,7156,750,922,1233,1225,1230,2019,858,527,2395,5690,1178,2804,318
epoch_0,uid_148427,913,1213,908,2731,3435,1178,1201,246,8228,1252,1208,1225,7090,68954,5992
epoch_0,uid_203212,3435,750,318,7156,1201,1284,246,44555,1089,858,165551,1225,908,1203,5690
epoch_0,uid_205717,1198,2858,858,4993,1234,1196,1233,1136,1449,2804,7099,2395,7090,913,1291
epoch_0,uid_132874,56782,3424,109374,1172,1213,1242,6213,3435,1221,26729,916,913,106489,4235,246
epoch_0,uid_141460,296,246,922,1178,608,750,904,1252,1193,2959,58559,1221,7156,3435,111
epoch_0,uid_221131,858,318,2731,1617,7156,3435,1225,272,5690,31658,110,1172,8477,909,7099
epoch_0,uid_117538,913,858,2804,1219,527,1198,4226,1252,1225,3435,1172,608,50,2731,8477
epoch_0,uid_84946,1272,1213,922,3435,750,318,296,1208,527,1225,2959,246,913,4973,1233
epoch_0,uid_114532,1225,5618,110,1219,1276,111,1252,1260,2324,475,246,3435,1172,1178,922
epoch_0,uid_152288,1207,2959,2571,913,909,750,293,1228,1212,4226,5618,1147,246,922,5690
epoch_0,uid_44301,750,5618,541,922,246,1213,858,2019,912,5952,2973,260,909,1196,3089
epoch_0,uid_154994,527,246,913,318,1225,3435,2858,953,5690,1221,1252,2019,1250,7156,858
epoch_0,uid_83094,3435,750,2804,922,3083,2324,246,1090,1233,318,1252,7156,1178,858,1234
epoch_0,uid_34091,3435,318,1225,345,5618,356,2028,741,953,2186,2731,5690,1172,909,1245
epoch_0,uid_131167,318,50,2804,109374,31658,913,6787,1213,1704,1237,159817,3000,1262,2324,1172
epoch_0,uid_259908,318,1219,5690,7156,3435,1252,1253,8983,3000,1197,3671,1617,88125,246,356
epoch_0,uid_1214,1233,31658,858,913,246,8477,296,745,4011,3435,1178,1213,2731,82,1250
epoch_0,uid_234975,318,1178,1278,908,1212,3317,7153,527,44555,290,364,3174,5690,7361,1292
epoch_0,uid_256412,858,1225,5690,58559,1213,3435,1222,1203,1234,1193,318,527,3677,1090,57504
epoch_0,uid_261500,8477,1225,1252,858,1233,1234,3435,293,2804,5992,1284,1237,47,913,922
epoch_0,uid_170818,318,1213,71033,3435,4993,4011,3089,750,3006,8477,1210,2019,527,4878,913
epoch_0,uid_14500,318,858,3435,1233,31658,3089,5952,1213,1178,913,928,909,922,5690,1172
epoch_0,uid_42909,909,1945,110,922,1252,1225,1147,8477,899,1968,1197,1272,5418,1276,7361
epoch_0,uid_108198,246,1178,913,593,1284,1200,1147,3435,2731,858,527,909,800,318,904
epoch_0,uid_164898,246,913,1221,858,909,1284,3424,1222,1178,922,5690,3435,527,31658,1203
epoch_0,uid_249754,7156,5690,994,318,272,858,1178,1203,31658,1196,110,2324,1222,1198,7090
epoch_0,uid_121537,527,7099,1213,1178,7156,246,1288,2019,750,1225,110,44555,1732,6016,1172
epoch_0,uid_211061,5690,750,1252,3677,858,909,1178,2858,4993,31658,1233,2804,922,593,246
epoch_0,uid_90813,318,6016,3435,7156,858,1221,246,913,5618,1172,750,608,8477,58,2959
epoch_0,uid_118902,109487,7090,913,246,8477,2804,27803,3089,50,1178,1233,903,48516,31658,6807
epoch_0,uid_80518,858,296,260,1234,2804,1276,1213,800,1252,246,1198,1225,1219,318,5995
epoch_0,uid_117441,318,858,1278,1178,1225,5690,922,2731,1233,1219,1193,608,1222,1207,750
epoch_0,uid_75266,858,2571,246,7153,5952,4993,318,3006,750,909,50,1198,1217,994,7156
epoch_0,uid_234808,260,3435,5690,246,7099,527,109374,1278,31658,1172,2959,1178,2395,2028,1198
epoch_0,uid_274502,1225,2028,3435,246,5690,1233,2019,7156,2395,1213,5618,272,44555,858,515
epoch_0,uid_58288,3578,246,858,296,318,1234,1193,7156,1221,1090,110,1203,2324,994,1950
epoch_0,uid_52285,246,1625,1252,858,3089,1178,922,272,3435,1237,745,911,2762,1148,2968
epoch_0,uid_74247,7090,1147,1284,2804,1197,909,5690,750,50,7156,3435,48516,2324,1172,3677
epoch_0,uid_84229,7153,2804,7156,1197,1704,47099,318,1217,4993,951,911,1172,260,293,589
epoch_0,uid_18197,318,1252,5992,527,858,50,1178,1221,1203,3435,1253,1200,293,5618,1196
epoch_0,uid_139688,1198,858,5690,3836,31658,1252,1178,922,913,1136,246,1213,593,527,1704
epoch_0,uid_251136,1225,2019,5618,318,2324,92259,3435,1233,1222,1147,1219,1921,1950,7090,904
epoch_0,uid_212275,1203,1196,750,1252,2324,7156,3435,5690,8983,5618,364,1172,1293,1617,1234
epoch_0,uid_232590,318,1213,527,4226,1704,8477,1193,58559,2804,5690,858,1198,922,3083,1203
epoch_0,uid_156865,318,3083,246,1276,27803,3089,4993,7099,7090,2731,924,858,2019,3435,110
epoch_0,uid_235503,318,858,2959,1213,1178,260,3435,296,50,1221,1203,2804,1219,4993,5952
epoch_0,uid_55268,1252,318,5992,5690,1225,50,953,5952,1197,31658,7153,4993,527,928,904
epoch_0,uid_73865,318,2324,6016,6283,1217,246,3435,1704,1178,58559,27803,1276,2804,1172,3677
epoch_0,uid_194703,1225,3435,527,1203,922,1213,2731,1234,1233,1193,74458,1230,2858,1178,8477
epoch_0,uid_257405,3435,2731,858,1213,5952,318,1233,5690,7153,296,1172,1147,1221,908,2959
epoch_0,uid_36332,1203,318,475,750,5952,1225,908,246,3677,1272,2804,2571,3201,3435,4993
epoch_0,uid_45307,3089,1136,7156,246,2395,904,1178,2324,1278,913,1259,318,2804,3083,1234
epoch_0,uid_258594,1219,2395,1208,1252,1201,246,5690,1089,109487,3089,3435,50,741,318,858
epoch_0,uid_106619,31658,1276,318,246,82,527,1178,1222,7090,3000,1090,1221,1203,1258,112556
epoch_0,uid_19212,1203,246,7099,1225,3435,318,6016,912,527,913,2019,356,272,1090,2804
epoch_0,uid_156189,750,318,909,1225,913,7156,858,2804,1172,7090,1252,31658,1203,2324,58559
epoch_0,uid_170757,82,1178,1674,3435,913,4011,1945,47,318,1537,928,31658,1625,1617,3089
epoch_0,uid_133562,318,2858,527,858,1172,3578,50,1203,31658,1213,110,1234,4993,5952,1197
epoch_0,uid_258517,527,318,2571,1283,3435,2028,246,3677,2324,928,916,5690,7090,5618,2690
epoch_0,uid_251434,7156,1252,246,50,2959,7099,293,922,913,1284,3317,4848,1237,1283,1136
epoch_0,uid_28650,318,913,3089,246,541,2329,2019,6016,7156,1172,527,7090,1276,1203,5618
epoch_0,uid_193257,296,1203,1222,1213,50,1193,1178,4973,858,926,5690,246,1172,1090,908
epoch_0,uid_270469,2395,3435,1234,2324,4226,3089,1203,246,1213,593,7156,1178,1219,110,1090
epoch_0,uid_93240,318,7156,3435,1203,1178,1284,750,527,2395,110,31658,1193,1136,7256,5995
epoch_0,uid_92123,858,246,3435,2804,1233,1178,750,1225,912,7361,2324,8983,31658,2731,3000
epoch_0,uid_111984,318,858,3435,7090,31658,246,5690,1172,7156,1252,47,750,2804,7099,1233
epoch_0,uid_204229,7090,1203,4848,74458,5690,2324,48780,1208,7156,2395,1253,2019,50,246,6016
epoch_0,uid_87256,260,1196,1210,913,246,150,7099,318,50,3435,2858,110,1291,2324,5618
epoch_0,uid_225935,3435,1203,1276,7090,6016,527,4432,5618,5992,1284,2019,2324,8638,1246,922
epoch_0,uid_219397,858,1225,1203,6016,7099,318,4993,1252,909,1178,246,3435,750,5992,1198
epoch_0,uid_73615,6016,246,318,750,1203,8983,58559,6283,7090,50,1178,1242,293,4226,31410
epoch_0,uid_30624,750,246,1178,7099,1222,2019,1196,3435,1213,858,1246,165551,2858,1198,5618
epoch_0,uid_217028,858,1213,1704,1172,6016,296,1221,246,356,58559,5992,3435,47,800,1178
epoch_0,uid_171966,50,246,913,527,1178,1258,7156,5618,3089,909,7099,1704,3000,3435,7090
epoch_0,uid_149706,3435,1225,318,7099,913,2804,1945,527,1233,5992,4011,1234,272,909,1674
epoch_0,uid_230798,1252,1233,3089,1172,1219,1945,922,1090,1193,1225,541,1276,2395,1207,994
epoch_0,uid_138371,1267,1213,4681,1219,50,2791,903,909,3089,1089,1172,44555,3677,2804,2502
epoch_0,uid_135337,909,953,1272,1203,50,246,5690,922,4973,1219,3677,3362,105844,475,1233
epoch_0,uid_108415,3435,8477,16,74458,1262,2677,1213,246,1199,318,3360,7153,31658,1617,58559
epoch_0,uid_48533,27815,3083,1243,1674,2731,171011,928,4973,1704,2186,1288,31658,1212,2208,3000
epoch_0,uid_46964,858,50,2959,3089,913,246,318,6016,293,8477,527,750,1197,3435,953
epoch_0,uid_253789,296,858,3435,318,1222,527,1213,1221,31658,1178,1090,5690,608,2395,1219
epoch_0,uid_126187,858,913,318,246,1225,1178,527,7099,1193,7156,1250,2804,3435,5690,1243
epoch_0,uid_186739,246,750,7156,7090,318,7099,1225,6016,2959,1203,913,2019,1178,7323,2804
epoch_0,uid_164044,1172,318,1199,3435,1260,1225,293,3089,4011,527,272,1201,5690,31658,858
epoch_0,uid_196808,1193,2804,750,4011,1172,1233,903,3677,1090,1260,246,913,58,1089,1225
epoch_0,uid_198632,246,5690,913,2571,1198,5618,7090,1217,7156,1254,2208,1178,541,909,2019
epoch_0,uid_213543,1196,3089,1193,296,272,1219,246,1147,7156,994,3949,2502,5690,50,318
epoch_0,uid_270726,1178,7156,50,58559,318,4973,1276,246,858,1136,913,31658,1221,293,6016
epoch_0,uid_267469,246,7156,1193,1172,1201,92259,3000,913,50,858,2804,5878,953,7099,608
