,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15
epoch_0,uid_128088,913,6016,908,3030,919,1203,55290,260,1207,1196,5618,1136,924,5291,3435
epoch_0,uid_267455,858,1276,1203,912,904,900,908,1201,318,1233,2019,1221,50,1193,1198
epoch_0,uid_73381,1203,2959,1193,1276,1200,5618,541,904,1258,50,3030,1201,899,1233,1625
epoch_0,uid_117628,1276,912,2959,2019,858,2324,1203,2858,1175,5291,908,2329,50,1193,1262
epoch_0,uid_21453,1148,1203,5618,1237,541,1172,50,527,908,1617,3000,1250,1207,945,4848
epoch_0,uid_229622,750,1276,541,50,593,527,1211,904,908,1234,1193,318,1148,164179,1197
epoch_0,uid_167368,1201,5618,527,50,2959,2019,318,2329,2571,44555,1203,58559,2762,5291,1207
epoch_0,uid_21772,296,2019,527,1237,5618,2959,1203,750,1204,3022,1262,3435,293,318,50
epoch_0,uid_176555,50,1234,904,3030,4993,1252,1230,5952,58559,1283,2959,3730,5995,908,1204
epoch_0,uid_166868,50,2019,318,2324,2959,541,1203,3030,593,4993,89492,608,2762,1250,1256
epoch_1,uid_128088,1222,1250,665,1089,1219,111,1304,1276,1233,86504,2019,899,1394,2132,2249
epoch_1,uid_267455,1148,1234,296,1136,2329,49272,2858,1262,910,1228,541,1211,903,2542,34405
epoch_1,uid_73381,1207,4973,4848,1148,1234,908,1250,912,858,1260,1136,750,1278,3089,1208
epoch_1,uid_117628,318,1198,527,296,2918,1213,260,1250,541,86504,1089,1214,1196,910,750
epoch_1,uid_21453,1276,2959,750,3435,912,3030,1193,1211,904,318,2324,260,2951,5995,4973
epoch_1,uid_229622,2132,2019,5618,1172,1250,1213,1214,4848,1201,1222,1080,1233,1257,1203,1207
epoch_1,uid_167368,4848,3020,30707,2324,7153,4226,3000,2804,4993,1214,48516,2542,1209,971,2692
epoch_1,uid_21772,4973,858,912,5952,1258,1233,260,1219,7361,79132,4993,164179,1172,1193,2329
epoch_1,uid_176555,1136,899,4848,2997,265,3000,2329,2019,2542,2858,1213,5291,2324,1148,1260
epoch_1,uid_166868,527,1193,1262,2804,912,930,904,1204,1221,6170,150548,1281,56782,260,1148
