,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15
epoch_0,uid_128088,947,6170,3134,1250,86504,5291,952,935,86347,1929,950,665,942,953,2920
epoch_0,uid_267455,86504,3730,3022,952,4312,665,104069,3435,5291,318,6170,3134,1446,1203,1211
epoch_0,uid_73381,86504,4312,665,1446,3134,3022,5291,162414,935,100714,2843,3089,8370,44555,2905
epoch_0,uid_117628,947,3134,5291,3730,1226,142488,952,665,1446,4312,3022,79357,2843,4902,5618
epoch_0,uid_21453,86504,2732,3134,4312,947,3022,2905,935,665,1207,3435,3089,2360,945,3730
epoch_0,uid_229622,3730,3134,1949,900,947,935,79357,4312,2843,678,104069,1189,3435,1446,4251
epoch_0,uid_167368,3089,5291,1446,935,947,665,142488,950,6170,952,3435,86504,3730,3134,4312
epoch_0,uid_21772,1446,3022,3730,318,2843,678,947,50,86504,5291,3089,3429,1203,1136,3435
epoch_0,uid_176555,1237,162414,1136,4251,945,952,541,3730,1217,50,3022,1283,1211,79357,6856
epoch_0,uid_166868,4312,3022,6993,3134,79357,8253,1264,6856,1189,26743,7256,935,5995,1226,3548
epoch_1,uid_128088,4312,163134,1226,945,3089,1446,104069,930,7327,1949,1233,138036,5899,1237,2249
epoch_1,uid_267455,2905,1189,8370,947,678,2843,935,1260,162414,950,79357,5890,4251,8253,50
epoch_1,uid_73381,3030,678,4902,3730,3435,1211,5890,1203,947,2360,942,79357,86347,6170,2019
epoch_1,uid_117628,86504,678,6170,86347,935,1189,104069,3089,945,8253,2905,1237,599,1203,1211
epoch_1,uid_21453,6170,678,8253,5291,4902,952,907,318,1237,1276,1446,2843,1211,858,7156
epoch_1,uid_229622,86504,3022,2905,5291,942,665,1211,952,1276,906,8370,86347,6170,318,3089
epoch_1,uid_167368,7327,2843,1211,318,1237,86347,4251,104069,3022,79357,2905,8370,5890,138036,8253
epoch_1,uid_21772,4312,3134,4251,665,1189,952,79357,6170,4902,599,950,2019,5890,935,104069
epoch_1,uid_176555,2927,4312,1189,86504,7209,3134,47152,3435,745,3468,6104,2729,935,1080,7560
epoch_1,uid_166868,8370,950,3730,7649,86504,1211,6170,104069,318,4251,2249,3435,947,942,34153
epoch_2,uid_128088,2927,906,3022,3435,8253,3730,1260,47152,2843,2183,900,678,5147,1931,2360
epoch_2,uid_267455,4902,2019,142488,2927,47152,7209,86347,1264,1250,7327,3030,945,904,3089,138036
epoch_2,uid_73381,4251,952,8253,1260,6818,1189,3429,7209,599,1226,138036,47152,163134,1264,2927
epoch_2,uid_117628,47152,3435,4251,2360,162414,5890,318,1949,138036,8370,4422,2019,1264,3030,1283
epoch_2,uid_21453,4251,5890,162414,3030,47152,7209,1260,79357,104069,1226,7327,1264,1949,50,2927
epoch_2,uid_229622,162414,2927,163134,4902,7209,138036,5890,6818,4422,47152,1260,8253,1226,950,142488
epoch_2,uid_167368,678,2927,906,47152,1949,942,1226,4902,163134,162414,3677,4422,2019,2360,7209
epoch_2,uid_21772,2905,8370,8253,86347,162414,1211,3030,7209,2360,1260,1949,47152,142488,7327,5618
epoch_2,uid_176555,947,7327,104069,5890,2843,665,86347,2360,750,3429,6170,44555,1207,142488,2132
epoch_2,uid_166868,952,1446,665,4422,4967,2905,163134,7327,2959,2843,5291,3030,1929,6818,2571
epoch_3,uid_128088,5890,162414,1944,7209,2732,3429,26903,2019,4037,1203,8254,4880,951,7068,759
epoch_3,uid_267455,6818,942,1276,163134,1929,3429,2732,2729,1193,2132,1949,858,1198,900,908
epoch_3,uid_73381,950,104069,7327,1250,1276,4422,2132,906,2729,2511,50,4144,2732,1237,4037
epoch_3,uid_117628,2927,7209,163134,7327,6818,950,912,2511,904,908,2132,1276,7156,2732,906
epoch_3,uid_21453,163134,1189,86347,2019,8370,1203,3429,6818,142488,904,102666,2132,942,906,2511
epoch_3,uid_229622,7327,1203,3429,5618,2019,27878,1237,3503,2132,3030,50,541,2511,1283,945
epoch_3,uid_167368,1929,2511,5147,7156,3429,2732,1189,2959,1260,100714,6818,6856,52241,1203,599
epoch_3,uid_21772,942,1283,2927,6818,163134,4422,2729,2732,44555,8254,2511,541,3503,2132,900
epoch_3,uid_176555,5618,8253,2905,1148,8370,4902,900,7156,2511,4640,5291,4422,1256,4144,1949
epoch_3,uid_166868,162414,7209,86347,678,1203,47152,5890,527,2511,2019,1949,102666,44555,98491,2729
epoch_4,uid_128088,6818,4422,79357,4902,1189,1264,2729,117438,1283,7206,170705,8370,4144,3503,3030
epoch_4,uid_267455,4422,2511,8254,906,2183,1283,4103,2360,7156,541,59026,7980,1136,1226,4037
epoch_4,uid_73381,8254,945,5147,1944,142488,7156,1283,4967,1949,1929,55442,904,7090,27878,908
epoch_4,uid_117628,8254,50,3429,3503,2729,900,1250,1260,942,541,4144,5147,858,1256,6104
epoch_4,uid_21453,4422,8254,950,900,1283,908,5618,2729,44555,138036,4144,5147,6104,306,3503
epoch_4,uid_229622,8254,1264,5147,2360,7156,2729,4144,1250,4037,26903,44555,2732,4848,6856,1944
epoch_4,uid_167368,900,8254,1283,1264,945,27878,59026,1216,7206,3548,4848,50,5618,3030,904
epoch_4,uid_21772,945,7156,1226,908,5147,1264,4144,904,2183,910,1237,906,1250,55442,138036
epoch_4,uid_176555,1446,6818,8254,3548,3030,1226,3503,1204,1232,1264,581,951,163134,3089,2726
epoch_4,uid_166868,100714,4902,2927,3089,8254,138036,55442,7156,900,2183,945,142488,906,4427,3503
epoch_5,uid_128088,2905,2618,2511,6856,4967,7980,4427,142488,86882,2819,908,100714,4251,940,44555
epoch_5,uid_267455,4967,27878,4640,1233,6856,1237,71462,4427,102666,2618,117438,599,930,26903,7560
epoch_5,uid_73381,102666,4640,1207,3503,6856,2183,2618,5618,306,4848,930,910,4427,7206,170705
epoch_5,uid_117628,6856,55442,102666,44555,4037,4967,100714,3548,2183,2618,4640,306,59026,26903,1193
epoch_5,uid_21453,55442,541,100714,4037,1193,71462,4967,6856,1250,59026,1929,4103,4640,599,4880
