,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12
epoch_0,uid_128088,919,940,34405,899,2132,1233,4641,5618,913,1204,215,1260
epoch_0,uid_267455,541,2571,318,1136,1203,1198,1193,306,858,1250,50,2019
epoch_0,uid_73381,1276,541,904,306,1203,1208,858,50,2019,908,1207,1247
epoch_0,uid_117628,5291,5618,1222,1203,904,541,912,2019,910,908,44555,1204
epoch_0,uid_21453,318,2959,1172,5952,1276,2019,2571,1203,1258,1237,260,4993
epoch_0,uid_229622,4973,1198,50,1233,858,908,318,1221,593,1228,904,2329
epoch_0,uid_167368,2804,5291,2019,2959,3468,1617,1200,912,2858,858,318,3022
epoch_0,uid_21772,318,2019,593,1193,1211,1172,3435,904,293,527,1258,50
epoch_0,uid_176555,48516,2019,1250,98491,40819,904,2329,1207,950,86882,1204,1304
epoch_0,uid_166868,2571,296,2019,79132,593,1276,904,50,858,908,318,2804
epoch_1,uid_128088,293,1225,306,2502,541,750,1203,907,44555,3134,1234,924
epoch_1,uid_267455,4973,1201,1234,34405,1276,142488,5291,908,3435,593,56782,2858
epoch_1,uid_73381,1211,912,1234,920,1293,1204,903,1278,2300,5618,1201,2329
epoch_1,uid_117628,1276,3435,1234,1211,750,1213,940,4848,1257,903,919,1207
epoch_1,uid_21453,5291,1204,4973,306,527,1233,5618,908,541,2329,4848,3020
epoch_1,uid_229622,5291,1136,1148,5618,1276,4878,900,4848,1203,4011,2019,1207
epoch_1,uid_167368,593,5618,2571,1203,97938,527,1260,3147,2324,4993,1259,2395
epoch_1,uid_21772,1250,2324,908,899,1203,912,3030,2959,4993,5995,1260,1204
epoch_1,uid_176555,1201,1617,541,1221,4973,3020,1233,1136,1219,68954,50,48780
epoch_1,uid_166868,5952,527,260,7153,4993,1221,541,2324,1210,3030,1175,1193
epoch_2,uid_128088,1257,1262,858,608,2019,1276,3022,953,900,1237,134130,6957
epoch_2,uid_267455,5952,260,7153,4993,750,1222,1259,527,319,2329,1200,1172
epoch_2,uid_73381,1172,7090,2804,1193,1209,919,1250,142488,1237,111,1228,1217
epoch_2,uid_117628,950,1136,1250,2762,4973,1193,3030,858,2329,2692,1304,134130
epoch_2,uid_21453,1250,1234,593,912,858,1209,1136,1207,50,1193,4011,1262
epoch_2,uid_229622,541,2324,1250,750,1270,912,1089,3030,1283,930,1193,3503
epoch_2,uid_167368,142488,1172,60069,5995,4848,2329,2692,2819,7323,2762,7153,7090
epoch_2,uid_21772,858,79132,1208,1233,541,1213,1228,5618,7090,1221,296,924
epoch_2,uid_176555,1214,2571,260,1196,1209,2804,5618,306,1211,4848,2324,1198
epoch_2,uid_166868,1136,319,3578,3022,4973,4011,2762,3147,5618,1233,1291,2329
epoch_3,uid_128088,5971,1250,1207,4848,3000,296,1230,1206,945,3468,902,38061
epoch_3,uid_267455,1304,904,2324,912,924,1207,950,138036,899,6016,1228,1221
epoch_3,uid_73381,1260,1233,109487,5291,3000,1256,953,778,910,1213,164179,3435
epoch_3,uid_117628,2324,527,50,1228,318,1219,2289,116797,930,1617,7090,290
epoch_3,uid_21453,1201,2324,1211,1089,1617,3000,6016,2132,900,56782,3552,5995
epoch_3,uid_229622,3000,306,1211,7090,6807,2959,910,1259,91529,2918,1256,1262
epoch_3,uid_167368,1207,68237,953,750,50,904,898,908,1237,903,1211,49272
epoch_3,uid_21772,2329,260,1262,1207,1196,138036,3020,1198,47,1446,1136,134130
epoch_3,uid_176555,1148,58559,1089,2858,908,1249,2959,5995,1262,2132,750,3030
epoch_3,uid_166868,58559,4226,293,912,1732,2959,48516,2858,1172,5995,1250,2028
epoch_4,uid_128088,903,3435,935,142488,1212,2905,60069,2908,3030,1283,1199,5291
epoch_4,uid_267455,296,608,1293,1208,48516,265,1204,3030,48780,7090,1260,4226
epoch_4,uid_73381,2959,296,293,900,1304,79132,3022,134130,4878,215,933,750
epoch_4,uid_117628,2959,1201,1262,899,2542,1233,2804,306,48516,2318,31410,593
epoch_4,uid_21453,903,2542,778,7090,3030,750,1197,950,4226,1230,44555,2289
epoch_4,uid_229622,3435,1172,1222,2908,1201,2542,2692,34405,2132,1225,1265,2858
epoch_4,uid_167368,1221,3020,1206,608,79132,1446,3435,68157,3000,3949,2318,4995
epoch_4,uid_21772,608,7153,910,4848,44555,1234,1206,306,55247,1222,3000,48516
epoch_4,uid_176555,4993,2028,3022,44555,5291,4011,7153,7090,3435,899,3730,33166
epoch_4,uid_166868,1196,1270,1203,945,4848,5291,1211,2908,903,2905,1237,953
epoch_5,uid_128088,922,914,1136,3996,745,2542,908,48394,1446,951,55247,7090
epoch_5,uid_267455,1233,4848,3429,1210,3020,913,2542,1089,3683,4011,2692,44555
epoch_5,uid_73381,2858,3030,2324,913,109374,1500,930,34405,950,3020,56782,3949
epoch_5,uid_117628,900,1148,2858,720,1172,3020,296,2132,3000,142488,67255,1278
epoch_5,uid_21453,2804,3022,904,924,38061,2762,899,1228,2677,6,1080,1256
epoch_5,uid_229622,260,2571,1214,293,296,142488,678,1196,1617,1260,1210,1204
epoch_5,uid_167368,900,67255,1222,3030,40819,296,930,2132,33166,4641,1278,109374
epoch_5,uid_21772,2804,745,5952,1201,5291,162414,1148,900,2542,1089,3022,3730
epoch_5,uid_176555,1237,900,6807,1197,3000,79132,2918,720,1213,91529,2908,307
epoch_5,uid_166868,2692,3435,778,899,34405,1147,5971,3911,665,1207,2289,56782
epoch_6,uid_128088,446,3089,32,3429,1293,1304,1228,97938,2289,2324,4873,3581
epoch_6,uid_267455,1214,1262,2186,1270,1446,49272,1263,1211,1213,1617,2132,164179
epoch_6,uid_73381,2132,899,44555,1089,3683,923,2542,1230,3468,593,945,1259
epoch_6,uid_117628,7156,33166,7153,1237,1089,79132,84152,215,2908,293,3022,5995
epoch_6,uid_21453,1148,3435,608,68237,3681,1208,356,446,1283,79357,152081,65261
epoch_6,uid_229622,111,7153,924,4993,48516,1278,950,84152,56782,940,5952,1245
epoch_6,uid_167368,6016,319,5952,1201,138036,48516,7156,910,778,4973,4878,6807
epoch_6,uid_21772,2571,1210,1214,1732,2692,950,4011,1200,1281,142488,1237,750
epoch_6,uid_176555,1278,1732,3910,4878,745,293,1500,903,7361,81845,1256,7327
epoch_6,uid_166868,1198,3000,44555,1208,1304,1228,1230,1219,1204,3429,1148,2132
epoch_7,uid_128088,2186,678,4011,1732,2863,111,923,1148,778,33166,31410,86504
epoch_7,uid_267455,1256,1148,1237,6807,2997,3578,1732,741,945,5995,1175,900
epoch_7,uid_73381,1617,4973,68157,5147,112552,3317,915,47,1283,4848,3089,515
epoch_7,uid_117628,1196,1256,260,1283,56782,2571,5225,969,58559,1260,69844,1245
epoch_7,uid_21453,945,913,296,3134,34405,2858,79132,1206,1221,930,1278,109374
epoch_7,uid_229622,1197,2804,44555,1200,1293,1304,79132,2186,1263,1234,1219,665
epoch_7,uid_167368,5971,950,215,1283,2289,1148,58559,2905,3429,951,1209,55247
epoch_7,uid_21772,1278,4973,898,2858,2132,1209,953,3147,109487,2762,4027,1259
epoch_7,uid_176555,1228,945,3949,1265,56782,1208,1258,2186,265,4027,1281,1222
epoch_7,uid_166868,1213,6016,1214,1446,215,1263,750,1278,1258,950,678,3468
epoch_8,uid_128088,910,3671,1245,1797,3020,3916,1278,47,933,1256,48516,260
epoch_8,uid_267455,86504,3022,1225,2905,116797,3730,73,910,2300,2951,68237,67255
epoch_8,uid_73381,1262,3429,745,1148,4011,678,2819,922,902,5995,1387,2863
epoch_8,uid_117628,47,898,3429,1197,1198,1259,678,4878,1949,3147,4902,1293
epoch_8,uid_21453,1225,49272,111,1293,33166,48516,1200,678,44199,1260,922,58559
epoch_8,uid_229622,1237,2289,3022,1079,1209,2677,913,1446,953,58559,1208,3265
epoch_8,uid_167368,1213,1228,940,599,1214,945,3897,4312,293,745,3996,741
epoch_8,uid_21772,4641,902,4878,1197,930,3949,1283,4995,1267,3429,60069,1245
epoch_8,uid_176555,1234,4226,902,112552,31410,913,6016,2997,1206,2843,2542,142488
epoch_8,uid_166868,7090,1234,4027,900,86504,142488,1262,1293,162414,109374,1206,3730
epoch_9,uid_128088,109374,950,56782,2819,79357,1968,1719,290,4327,4878,3317,1279
epoch_9,uid_267455,903,40819,3996,1283,33166,922,68157,6957,1217,44199,1500,3089
epoch_9,uid_73381,6016,2791,86504,1949,898,2289,1214,1221,1225,800,48394,1206
epoch_9,uid_117628,1209,4312,1732,945,86504,1208,4226,2028,3134,3996,30707,106916
epoch_9,uid_21453,1732,4878,2905,142488,1719,1264,1213,307,1446,4144,71535,2908
epoch_9,uid_229622,356,1213,778,49530,38061,903,33166,3730,55820,1254,527,899
epoch_9,uid_167368,1189,3911,5147,3134,1257,678,38061,1732,34405,62344,81845,44199
epoch_9,uid_21772,903,945,33166,2677,3468,109374,665,1304,1256,1230,290,2905
epoch_9,uid_176555,3134,3147,6957,109487,1210,930,8132,3265,34405,1245,4144,1175
epoch_9,uid_166868,68237,608,2997,952,4878,109487,940,1256,138036,1247,106916,3020
epoch_10,uid_128088,665,1193,1211,6,5418,1704,67255,86882,1210,109487,73,30707
epoch_10,uid_267455,1209,215,2028,599,1257,1,930,1258,778,30707,6874,3147
