,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15
epoch_0,uid_128088,1203,260,2019,1304,164179,1250,3030,44555,296,541,910,1230,1256,954,1172
epoch_0,uid_267455,1207,541,2019,1203,1136,1204,1201,260,2132,1198,1250,3435,904,908,1193
epoch_0,uid_73381,2019,1203,912,1234,1276,904,1256,899,1207,1204,1250,908,5291,923,750
epoch_0,uid_117628,296,3949,1230,1203,898,2019,1172,2324,930,318,2908,1256,4848,527,1089
epoch_0,uid_21453,2019,1203,1276,318,1233,912,1221,1193,260,1210,2571,1206,1201,4848,5291
epoch_0,uid_229622,858,318,2019,1203,527,3435,60069,457,50,1221,908,593,260,1197,678
epoch_0,uid_167368,2329,2019,79132,3030,1214,1260,5618,908,2804,1089,5995,2571,1203,2959,5952
epoch_0,uid_21772,4973,79132,2019,1203,2959,50,1250,900,2571,541,3022,1222,7153,265,48516
epoch_0,uid_176555,1206,4973,908,260,1237,904,1220,44199,903,1204,4878,223,913,2542,2908
epoch_0,uid_166868,4973,4993,7153,4848,858,5952,1193,79132,1208,5225,1233,5618,8132,1206,1203
epoch_0,uid_51695,593,318,296,2019,1221,2324,1258,50,2858,7153,858,1193,1136,1203,1201
epoch_0,uid_282217,318,1210,260,778,1193,2019,1196,7090,1270,2571,1089,969,356,134130,79132
epoch_0,uid_188391,541,2571,318,2959,2324,2019,904,68157,1196,912,899,1206,2028,1217,1136
epoch_0,uid_246431,1250,2019,1211,318,5618,930,1201,1267,1233,1203,1234,2324,3030,3435,44555
epoch_0,uid_92775,1230,318,904,1207,1250,49272,541,1203,1201,34405,1080,5618,88125,900,2300
epoch_0,uid_221239,1203,923,2019,1193,1201,910,3000,5618,1276,7153,858,919,2132,4848,50
epoch_0,uid_148267,1211,2019,50,910,318,1203,2324,1209,3030,912,1201,68157,2959,1233,3435
epoch_0,uid_26118,2804,1250,1201,134130,260,1949,589,1207,4973,1221,1211,3429,2761,912,1036
epoch_0,uid_175652,1276,1207,3030,1136,908,1250,899,1203,1193,1257,1267,593,318,1234,2132
epoch_0,uid_120855,1204,6104,5669,923,44199,908,33166,1197,903,1148,920,1203,913,1189,1230
epoch_0,uid_99370,1276,110,1203,858,50,2571,1304,527,1258,4973,2959,5618,4848,1172,27317
epoch_0,uid_117610,72720,48780,58,3275,1446,531,134130,58559,1261,215,34437,1228,83134,56782,3022
epoch_0,uid_265869,1203,1276,910,899,858,1262,904,1250,2324,1211,1234,1237,2132,5618,908
epoch_0,uid_199247,2019,898,1719,3030,912,2324,1237,2132,1203,5618,1225,3435,44555,908,910
epoch_0,uid_128947,1203,2019,1276,1617,800,1213,7090,2542,3022,858,1197,5618,63876,1293,3897
epoch_0,uid_194844,912,919,910,1276,2019,50,945,1211,1262,1203,608,1207,30707,3671,1217
epoch_0,uid_58100,527,1203,1196,2324,2019,318,908,1270,1197,5618,1207,48516,541,44555,4973
epoch_0,uid_131556,2019,318,912,1211,5995,1193,1198,3435,858,2324,7090,1228,33166,1172,1207
epoch_0,uid_167980,5618,1203,1276,1262,2019,1256,1250,3000,923,1213,1225,778,260,50,2329
epoch_0,uid_205977,1193,541,2019,5618,33166,904,3030,899,1284,1203,63876,5971,1719,950,2324
epoch_0,uid_99817,1198,260,318,1172,1276,2761,900,904,2019,1250,3030,2959,1207,541,2819
epoch_0,uid_16287,1203,1276,3000,1211,1201,1278,541,2019,5618,1233,1204,922,1234,4011,4848
epoch_0,uid_192124,1276,904,1193,30707,318,1203,1201,1211,908,50,6807,1136,858,48043,1148
epoch_0,uid_176713,527,4973,1250,1203,1197,318,1136,1276,1196,260,50,5618,2019,593,1193
epoch_0,uid_130144,2858,318,2324,1276,1221,2329,2019,3949,541,2959,923,3030,2571,1172,33166
epoch_0,uid_132969,908,5995,1148,1237,5618,7361,293,6957,4993,7153,1270,138036,2791,5878,1207
epoch_0,uid_271816,5618,2019,1213,904,4993,1203,750,1204,1234,1276,1207,67255,142488,1136,4973
epoch_0,uid_95564,50,318,2019,1203,44555,2804,2959,1234,908,527,1211,4848,2324,2329,3030
epoch_0,uid_28131,1172,2019,1203,608,4973,1211,912,1208,1228,2300,1193,50,3030,1262,7090
epoch_0,uid_143440,2019,1210,5618,1193,858,50,1233,4993,1304,4973,1196,33166,1203,3551,34405
epoch_0,uid_208322,318,2324,1250,1211,1203,50,1276,1234,306,1193,527,2542,1200,5291,1262
epoch_0,uid_75400,3435,4973,68157,899,1201,6942,3160,2858,904,4902,5995,1148,87004,1235,4312
epoch_0,uid_1049,318,1211,908,912,904,3030,7153,2959,1234,541,79132,1203,1198,1193,2804
epoch_0,uid_112436,5618,4973,1957,79132,947,44555,1293,1213,48516,4144,5878,89745,5013,1224,1090
epoch_0,uid_150562,903,4878,5618,1237,1203,904,5291,1235,1223,1204,908,1199,1252,1276,4848
epoch_0,uid_214234,50,4973,2019,44555,318,3147,2959,5618,2324,2329,1203,908,2804,296,593
epoch_0,uid_238979,858,1136,1197,1276,318,1207,1256,1172,1079,1203,2132,2324,5618,1221,1201
epoch_0,uid_101768,50,1206,3435,2019,47,1233,2324,1262,1276,4878,1211,1207,1203,778,912
epoch_0,uid_82109,1250,296,318,4848,7090,86882,1211,910,50,1288,4027,1208,678,4878,3578
epoch_0,uid_20804,2019,1172,5291,1276,4973,912,50,541,5952,904,1221,1233,953,3030,142488
epoch_0,uid_10839,1203,1211,2019,3435,2959,1262,910,541,1207,2324,2132,5291,1276,1234,318
epoch_0,uid_206194,750,1234,50,1136,2019,1193,1197,1276,40819,3996,1235,2132,1211,1203,4226
epoch_0,uid_187884,1197,527,1203,4973,2019,912,908,1213,1193,318,2324,1222,1304,50,899
epoch_0,uid_165585,4993,4973,1203,858,2571,1276,7153,2019,5952,3435,541,50,904,912,48516
epoch_0,uid_76559,1136,2858,858,912,541,1214,1193,1148,1276,3030,1237,1172,4027,33166,7090
epoch_0,uid_89916,2019,1209,1276,2324,3435,4848,1256,1211,3022,1203,1719,950,53519,1267,164179
epoch_0,uid_200726,904,527,5952,899,2019,1197,2324,4973,3435,593,318,134130,44555,678,908
epoch_0,uid_244,541,1136,858,1148,318,527,1304,2858,1214,3030,2959,2571,1221,912,79132
epoch_0,uid_220558,2268,446,2502,1172,1209,1208,1304,4848,5791,527,593,923,6993,162414,4312
epoch_0,uid_250894,1203,2019,5618,541,50,750,1204,908,1276,2804,1230,3000,1260,2791,3030
epoch_0,uid_169755,7153,2571,5952,3000,318,1208,953,1233,858,900,296,6016,2542,2959,1204
epoch_0,uid_5275,50,908,1204,318,1207,1234,4973,1193,1203,904,44555,2329,1797,1136,912
epoch_0,uid_275947,2019,44555,3020,142488,1225,4027,4993,2324,3000,2571,1234,1193,904,48780,2132
epoch_0,uid_75629,2132,950,1203,3503,1237,899,79185,1256,65261,1238,2005,8950,3022,1269,76251
epoch_0,uid_114724,318,904,2858,1207,1148,1203,3022,745,1211,899,1201,1234,1276,1204,1172
epoch_0,uid_33249,4973,50,2019,318,908,1276,44555,2324,903,1193,84152,930,1250,5291,3435
epoch_0,uid_247668,1193,1237,1250,1196,1207,2019,912,1198,1276,1211,541,904,898,3030,3089
epoch_0,uid_194125,1198,8957,1719,69844,45081,1233,88125,7090,8958,55247,1262,4016,4973,2993,1304
epoch_0,uid_63080,1276,1198,1196,541,1211,1234,2502,904,1203,50,4312,1233,109374,919,2571
epoch_0,uid_69627,1207,2858,318,1197,3435,68157,79132,1211,2019,5618,7153,2959,1201,1136,904
epoch_0,uid_30888,318,2959,79132,1203,953,2019,1209,1276,908,1250,1259,61240,1682,1256,8132
epoch_0,uid_71789,2019,904,910,318,1203,593,49272,541,44199,2542,912,1228,1293,50,1193
epoch_0,uid_101100,1196,50,1262,44555,1203,1193,541,48516,2329,2019,593,908,1198,260,1207
epoch_0,uid_197753,1500,1207,1148,2019,1197,908,142488,912,904,1203,48394,1256,1136,318,73
epoch_0,uid_78389,1203,858,50,899,1259,1234,904,1136,2019,1225,1260,1197,2132,2692,7090
epoch_0,uid_89665,50,1221,318,1193,3435,1089,858,2959,79132,2019,44555,47,34405,899,1197
epoch_0,uid_78821,1304,2959,2329,1221,904,134130,1207,1210,912,858,260,1206,750,2132,4993
epoch_0,uid_236194,912,904,1250,750,1276,1197,1203,1281,1148,1209,1204,1201,910,1219,50
epoch_0,uid_82050,1276,4973,3421,922,2918,1148,919,68157,1213,1203,1617,5291,164179,293,1263
epoch_0,uid_196953,2019,1276,1203,1278,3949,1089,1262,4848,1237,1617,1213,49272,913,1212,306
epoch_0,uid_22821,2858,2959,1193,1211,318,1276,44555,50,3000,2324,2019,5291,912,4011,1284
epoch_0,uid_81822,1237,1276,1211,1203,2324,50,2329,1259,1262,1234,1193,306,7090,34405,3022
epoch_0,uid_64366,3435,1237,912,1211,50,908,2692,2019,1193,1203,608,1209,1256,1262,2132
epoch_0,uid_190418,1276,1228,1211,4848,1237,1204,913,1172,1719,1234,1233,1201,91658,134130,1256
epoch_0,uid_246021,4878,3949,1732,898,122886,4027,3147,293,2132,1237,1258,1262,945,1260,4993
epoch_0,uid_91885,1211,4641,1203,4848,908,1276,30707,3435,5971,50,899,541,2019,1237,1234
epoch_0,uid_212531,1213,908,1203,50,912,922,1233,1617,2019,4027,3030,44555,7361,1262,116797
epoch_0,uid_130761,750,1136,1276,1193,1203,2542,3022,1256,290,318,2019,306,950,1250,5291
epoch_0,uid_52391,50,1201,2959,1234,1283,904,1136,2300,908,34405,1198,1211,2571,306,541
epoch_0,uid_267242,1203,2959,1201,50,1234,2324,1200,904,750,1211,1214,1213,541,109374,356
epoch_0,uid_264440,1197,1207,134130,91529,750,1172,4973,3147,2329,1704,293,7153,1213,1136,5618
epoch_0,uid_113299,541,5291,1193,904,50,2324,2019,48516,527,1237,1228,903,1204,1198,1214
epoch_0,uid_87939,1276,899,1250,1211,908,778,1203,7090,50,1207,800,2959,4848,4641,1089
epoch_0,uid_277092,908,1211,1207,1203,1234,2300,4973,1237,1204,30707,3897,1719,2019,1193,5618
epoch_0,uid_239551,50,858,1203,1278,1276,4848,908,2019,306,1136,2918,599,2692,1234,1259
epoch_0,uid_182815,858,318,2959,260,1221,1210,79132,3578,7090,1198,1201,778,1233,1213,1172
epoch_0,uid_254394,50,4973,1276,1193,1201,296,2959,1136,7090,1259,904,4848,1278,4011,858
epoch_0,uid_269446,910,2019,3030,2300,1250,3949,1221,318,138036,1234,509,57669,3022,608,1225
epoch_0,uid_146366,1136,912,1207,1203,1234,908,50,79132,3000,7153,2019,858,68157,1276,3435
epoch_0,uid_88729,2019,5618,1203,1617,3000,50,1193,858,1234,1207,2132,68237,3435,44555,1136
epoch_1,uid_128088,306,142488,5618,1237,1214,1204,1234,1193,750,913,903,908,924,1276,1207
epoch_1,uid_267455,5995,5291,318,2329,899,306,913,1237,3030,527,44555,910,3022,750,912
epoch_1,uid_73381,3030,7090,5618,953,945,1237,919,3429,4848,3435,3022,34405,898,2268,593
epoch_1,uid_117628,50,858,899,910,3000,1234,306,3429,1446,950,5291,48516,1211,1270,1278
epoch_1,uid_21453,908,1617,50,1250,1207,3030,2324,904,1211,7090,1214,913,2132,1197,1148
epoch_1,uid_229622,541,1217,1193,1211,904,2571,1233,1259,2959,44555,1256,5618,4011,2329,4973
epoch_1,uid_167368,1207,7090,1211,318,44555,527,3435,858,910,912,1175,4848,904,953,3000
epoch_1,uid_21772,912,3030,318,908,296,1719,1233,1237,4993,3429,44555,1221,142488,1211,2329
epoch_1,uid_176555,4011,4993,1617,1250,541,1257,1221,1303,930,1214,2791,293,4848,32,2019
epoch_1,uid_166868,1198,318,898,908,778,1136,2329,4878,912,44555,7090,904,1276,593,1237
epoch_1,uid_51695,1211,2571,541,1276,1256,1234,910,1204,904,1283,5291,1293,1233,3000,608
epoch_1,uid_282217,1276,541,3578,858,50,3435,953,306,2324,1704,1211,112552,91529,1233,6539
epoch_1,uid_188391,750,1203,5618,50,1193,1148,1233,1262,1276,900,1198,3030,1214,1234,4848
epoch_1,uid_246431,912,1193,50,1196,1304,924,908,541,1237,904,1214,215,900,1204,1276
epoch_1,uid_92775,913,858,1193,908,3030,2019,1617,1276,593,2132,912,2858,3949,1234,1079
epoch_1,uid_221239,1211,3435,1197,912,924,44555,1228,1237,1260,2329,1207,1148,1262,55442,1172
epoch_1,uid_148267,1207,902,48516,5618,541,4878,1276,527,306,1234,3949,4312,913,4848,2762
epoch_1,uid_26118,593,527,1172,1200,1446,1234,3030,904,922,1960,5291,953,44555,908,3022
epoch_1,uid_175652,3022,1209,3435,1233,2019,1198,1210,1172,1211,260,3000,7153,2571,910,1256
epoch_1,uid_120855,912,1223,5618,1288,745,2132,1207,44555,1172,3022,63876,290,92535,1953,2511
epoch_1,uid_99370,318,3435,1136,1193,1201,1206,778,2858,1233,7153,4993,1198,2019,1283,3022
epoch_1,uid_117610,71535,4312,900,142488,3910,123288,69844,67255,61240,4902,73,2249,1256,3476,3000
epoch_1,uid_265869,1256,318,1217,1207,4973,912,3022,1197,2019,1233,1148,947,930,2329,3030
epoch_1,uid_199247,899,1233,904,1172,79132,1211,1245,5995,750,900,7090,3022,4641,106916,950
epoch_1,uid_128947,1196,1193,2324,3435,1221,4011,1234,44555,5995,50,1201,4226,541,912,3030
epoch_1,uid_194844,1201,1193,1732,5618,1136,1213,720,1223,2132,111,4641,541,1301,1089,1080
epoch_1,uid_58100,1193,858,1211,3435,1258,912,1148,1172,899,910,5291,1204,1237,1234,1233
epoch_1,uid_131556,4973,3000,1197,904,1148,899,900,908,1234,508,5618,910,1203,2132,2186
epoch_1,uid_167980,750,541,912,858,1197,1089,1221,1237,3435,3030,908,2132,1204,44555,1719
epoch_1,uid_205977,953,5995,5292,58559,945,1270,3000,4848,1234,5291,1210,2918,1256,53519,45081
epoch_1,uid_99817,3435,2571,1203,2329,2132,908,858,50,912,3022,2324,953,1193,930,44555
epoch_1,uid_16287,750,1250,912,2132,1197,1446,1237,2329,904,3030,908,2542,1256,1212,678
epoch_1,uid_192124,910,44555,5952,68157,2132,4312,1213,2019,593,4993,1256,1222,5618,1237,3022
epoch_1,uid_176713,3435,7090,1204,2959,306,1207,1221,1211,1256,3030,2132,858,2571,5291,903
epoch_1,uid_130144,1203,68157,1211,6016,1446,678,4011,4848,1234,527,1293,3435,1171,1193,1209
epoch_1,uid_132969,1204,1446,3429,904,1211,3435,3548,608,3022,1278,2357,162414,1079,2300,1209
epoch_1,uid_271816,899,858,1211,2132,593,1221,908,1172,527,541,50,296,2289,3030,913
epoch_1,uid_95564,306,899,912,919,5618,1233,3022,904,953,3435,1446,34405,5291,1258,1256
epoch_1,uid_28131,296,904,858,1276,899,47,1136,1250,4993,1204,1196,593,1210,2959,318
epoch_1,uid_143440,1446,1293,947,1276,44555,900,1207,908,1237,1732,904,899,293,527,60069
epoch_1,uid_208322,5618,541,44555,1256,3022,1237,1233,750,1201,1260,904,665,3030,33166,593
epoch_1,uid_75400,800,922,3429,3022,106916,1131,5291,2502,4066,116797,30820,6773,900,1136,3683
epoch_1,uid_1049,1233,899,293,3022,1262,4011,2329,50,44555,910,3435,1222,1250,900,61240
epoch_1,uid_112436,1214,31658,3030,4011,5971,1209,1211,56782,2542,1217,2329,1203,2186,1262,3275
epoch_1,uid_150562,44555,1250,4378,318,1211,899,49272,1228,1234,1214,750,900,4027,7090,1217
epoch_1,uid_214234,904,912,1250,910,49272,1198,1234,1276,1207,1256,4848,1172,1257,3030,919
epoch_1,uid_238979,908,50,5291,1234,3435,306,1089,4848,910,2019,68157,1732,1148,899,3996
epoch_1,uid_101768,899,904,527,1197,5618,1250,908,1209,608,900,1193,1237,1256,1178,2542
epoch_1,uid_82109,900,1172,5291,950,1203,1276,1237,2329,2324,1234,908,1256,142488,3022,2132
epoch_1,uid_20804,1250,1211,900,1201,1256,1206,924,3435,908,2329,1136,1204,1258,44555,2542
epoch_1,uid_10839,1196,1250,306,908,2329,3030,1258,1237,2542,5618,899,1198,4011,5995,1210
epoch_1,uid_206194,5995,2918,1172,4848,950,1237,1214,1228,953,2692,5618,55820,4027,2324,4011
epoch_1,uid_187884,2329,142488,3000,5291,910,1148,2542,3030,1221,904,858,1719,1136,1250,1211
epoch_1,uid_165585,318,1198,1211,1196,1209,1234,1256,2329,5618,2186,1233,1193,7090,1136,2542
epoch_1,uid_76559,899,527,5618,3435,1263,1732,2019,3022,1211,913,3000,2132,5291,745,903
epoch_1,uid_89916,7090,50,306,5618,5291,44555,34405,1704,3030,138036,930,109374,142488,1293,6016
epoch_1,uid_200726,5618,1203,3030,7090,3000,4312,5291,1207,1204,1293,1193,912,1256,1237,1234
epoch_1,uid_244,50,1211,1206,1193,924,109487,593,7090,1237,44555,1228,4262,1250,4848,904
epoch_1,uid_220558,1276,6874,55820,1237,3435,2329,4641,1211,1080,45081,2288,2542,912,1267,913
epoch_1,uid_250894,858,912,904,306,1211,3435,34405,1193,1207,4312,134130,910,2132,930,599
epoch_1,uid_169755,1193,1201,1211,527,1719,2019,3681,5618,1198,3730,678,306,4011,1234,3476
epoch_1,uid_5275,527,1250,3435,1233,541,1213,2959,1211,2804,5618,2019,260,1196,4011,953
epoch_1,uid_275947,79132,1197,2858,900,4973,1233,4878,912,1136,2959,541,81845,1172,3435,2804
epoch_1,uid_75629,109374,1211,665,1254,900,1281,47610,307,26471,86320,1284,6187,31410,1232,168250
epoch_1,uid_114724,2019,5618,1193,912,858,3435,1237,1233,1230,2324,4993,1250,68157,1283,1196
epoch_1,uid_33249,1211,924,1203,858,79132,5618,5013,945,3949,1210,910,665,3000,599,899
epoch_1,uid_247668,7090,3435,1233,858,1234,908,2959,2571,1204,5618,318,5291,3429,44555,1222
epoch_1,uid_194125,3435,1961,2249,6016,44555,1253,678,945,1211,900,7361,1276,2019,108932,1250
epoch_1,uid_63080,2132,912,2019,1200,1193,3022,7090,1446,1250,1237,2329,908,356,1732,2677
epoch_1,uid_69627,50,908,858,900,1276,1250,1172,1203,7090,4973,2542,593,910,3000,1198
epoch_1,uid_30888,1172,50,5291,3435,741,3022,1204,899,924,1211,4848,1197,923,142488,1293
