,0
0,2355
1,50
2,60
3,116
4,150
5,318
6,531
7,745
8,934
9,1148
10,1302
11,1704
12,2429
13,2580
14,2761
15,2959
16,3147
17,3916
18,4799
19,4995
20,5377
21,5401
22,5418
23,5957
24,6016
25,6170
26,6212
27,6483
28,6565
29,6874
30,7263
31,7438
32,7445
33,36525
34,48516
35,58559
36,59369
37,60074
38,62434
39,24
40,29
41,273
42,719
43,724
44,1357
45,1405
46,1912
47,2076
48,2150
49,2490
50,2723
51,2746
52,2871
53,2968
54,3006
55,356
56,1363
57,1617
58,2406
59,2967
60,3654
61,3923
62,3926
63,3927
64,3928
65,3929
66,3930
67,3931
68,3932
69,3936
70,3957
71,3959
72,3963
73,3964
74,3968
75,3984
76,4007
77,4011
78,4896
79,5989
80,260
81,296
82,593
83,608
84,750
85,858
86,904
87,912
88,1089
89,1193
90,2019
91,79132
92,76
93,259
94,480
95,899
96,1196
97,2450
98,2936
99,111
100,246
101,527
102,541
103,903
104,1041
105,1080
106,1104
107,1197
108,1206
109,1207
110,1208
111,1214
112,1219
113,1235
114,1240
115,1247
116,1258
117,1358
118,1593
119,2006
120,2348
121,2381
122,2531
123,2532
124,2695
125,2762
126,2858
127,3007
128,3897
129,3910
130,4361
131,1
132,62
133,110
134,135
135,223
136,344
137,357
138,435
139,440
140,471
141,497
142,539
143,543
144,551
145,587
146,588
147,589
148,610
149,736
150,788
151,919
152,1010
153,1042
154,1073
155,1079
156,1097
157,1127
158,1136
159,1199
160,1200
161,1210
162,1220
163,1231
164,1246
165,1257
166,1259
167,1265
168,1270
169,1271
170,1291
171,1298
172,1307
173,1321
174,1394
175,1500
176,1517
177,1527
178,1587
179,1641
180,1653
181,1682
182,1689
183,1721
184,1732
185,1784
186,1914
187,1923
188,1961
189,1965
190,1968
191,2003
192,2028
193,2072
194,2111
195,2125
196,2134
197,2145
198,2248
199,2291
200,2297
201,2302
202,2321
203,2393
204,2455
205,2502
206,2542
207,2571
208,2572
209,2628
210,2716
211,2770
212,2788
213,2791
214,2797
215,2918
216,2997
217,3033
218,3087
219,3114
220,3157
221,3174
222,3175
223,3186
224,3247
225,3254
226,3300
227,3396
228,3421
229,3448
230,3481
231,3499
232,3527
233,3552
234,3578
235,3752
236,3798
237,3809
238,3868
239,3911
240,3948
241,3972
242,3977
243,4002
244,4014
245,4015
246,4019
247,4022
248,4025
249,4027
250,4226
251,4306
252,4308
253,4343
254,4447
255,4489
256,4621
257,4728
258,4743
259,4816
260,4848
261,4878
262,4886
263,4890
264,4963
265,4979
266,4993
267,5103
268,5218
269,5299
270,5349
271,5419
272,5445
273,5459
274,5481
275,5618
276,5673
277,5902
278,5945
279,6155
280,6188
281,6287
282,6296
283,6297
284,6373
285,6377
286,6535
287,6537
288,6564
289,6711
290,6755
291,6807
292,6863
293,7075
294,7147
295,7153
296,7173
297,7318
298,7361
299,8131
300,8360
301,8373
302,8376
303,8528
304,8623
305,8641
306,8644
307,8807
308,8865
309,8874
310,8961
311,27706
312,27808
313,30793
314,30825
315,31685
316,33004
317,33615
318,44004
319,45517
320,45672
321,45726
322,48394
323,48416
324,48982
325,50872
326,52287
327,56152
328,58299
329,60069
330,61132
331,61323
332,63131
333,63859
334,66934
335,67087
336,68954
337,69122
338,72998
339,76077
340,2395
341,2725
342,3037
343,3248
344,3882
345,4105
346,4649
347,5313
348,32
349,47
350,70
351,253
352,293
353,337
354,347
355,364
356,902
357,1103
358,1172
359,1198
360,1201
361,1203
362,1213
363,1221
364,1225
365,1234
366,1244
367,1263
368,1280
369,1333
370,1347
371,1387
372,1772
373,1907
374,1970
375,1974
376,1982
377,2074
378,2174
379,2324
380,2329
381,2389
382,2424
383,2459
384,2513
385,2710
386,2763
387,2764
388,3000
389,3535
390,3702
391,3785
392,3917
393,3949
394,4128
395,4148
396,4262
397,4326
398,4388
399,4720
400,4973
401,5219
402,5617
403,5630
404,5690
405,5952
406,5971
407,6502
408,6539
409,6709
410,7022
411,7090
412,7234
413,7254
414,7646
415,7982
416,8361
417,8957
418,8983
419,26903
420,27317
421,27773
422,32587
423,33679
424,33896
425,34405
426,37729
427,39446
428,41566
429,44191
430,44555
431,45722
432,47610
433,48043
434,52281
435,52435
436,54995
437,56757
438,59784
439,61240
440,63082
441,65261
442,66097
443,70286
444,71135
445,76093
446,78499
447,79091
448,81845
449,81847
450,86882
451,89118
452,95311
453,97913
454,99114
455,103335
456,105355
457,106696
458,107771
459,108932
460,109374
461,111743
462,112175
463,112290
464,115617
465,119141
466,778
467,1748
468,2700
469,30810
470,55721
471,475
472,953
473,1343
474,1466
475,1597
476,2100
477,3101
478,6796
479,25
480,34
481,141
482,153
483,165
484,185
485,225
486,231
487,252
488,288
489,292
490,300
491,317
492,350
493,367
494,377
495,380
496,410
497,420
498,432
499,434
500,442
501,454
502,457
503,500
504,585
505,586
506,590
507,592
508,595
509,597
510,10
511,19
512,44
513,316
514,520
515,741
516,1036
517,1272
518,1278
519,1722
520,1909
521,2273
522,2371
523,2416
524,3052
525,3671
526,3996
527,4344
528,4701
529,5047
530,5064
531,6595
532,6618
533,6708
534,6776
535,7143
536,7324
537,8798
538,8972
539,31696
540,33794
541,36529
542,40851
543,44840
544,45447
545,46976
546,48780
547,49272
548,49530
549,51662
550,53972
551,54259
552,54286
553,54648
554,55908
555,56775
556,58156
557,59014
558,60756
559,62374
560,65514
561,68237
562,68554
563,69278
564,70305
565,71106
566,73017
567,74789
568,76251
569,79139
570,79592
571,80489
572,82461
573,84601
574,85412
575,85510
576,87785
577,89492
578,89745
579,91529
580,91542
581,93363
582,94864
583,96079
584,98809
585,99112
586,100882
587,101864
588,103042
589,103341
590,103372
591,103596
592,106489
593,106916
594,107348
595,109487
596,110669
597,111759
598,111781
599,114795
600,115210
601,116797
602,119145
603,122900
604,122904
605,132046
606,134130
607,136020
608,138036
609,152077
610,160563
611,165101
612,166528
613,170
614,256
615,913
616,1131
617,1274
618,1513
619,1954
620,1994
621,2020
622,2021
623,2094
624,2105
625,2478
626,3107
627,3471
628,3740
629,5669
630,8665
631,48738
632,55820
633,59315
634,64614
635,2505
636,2706
637,914
638,1320
639,1586
640,1913
641,2133
642,368
643,594
644,596
645,616
646,897
647,898
648,908
649,917
650,928
651,929
652,940
653,941
654,942
655,950
656,951
657,954
658,964
659,969
660,973
661,1012
662,1019
663,1022
664,1023
665,1028
666,1029
667,1032
668,1035
669,1085
670,1099
671,1226
672,1250
673,1256
674,1262
675,1269
676,1283
677,1610
678,1931
679,1934
680,1957
681,2080
682,2081
683,2085
684,2087
685,2096
686,2137
687,2183
688,2184
689,2204
690,2210
691,2212
692,2398
693,2648
694,2662
695,3022
696,3034
697,3061
698,3066
699,3097
700,3196
701,3406
702,3549
703,3599
704,3675
705,3871
706,4046
707,4184
708,4329
709,4339
710,4357
711,4360
712,4406
713,4857
714,4921
715,4923
716,4969
717,5001
718,5167
719,5230
720,5378
721,5440
722,5601
723,5644
724,5826
725,5830
726,5899
727,6237
728,6356
729,6412
730,6429
731,6459
732,6630
733,6749
734,6785
735,6808
736,6856
737,6947
738,7054
739,7058
740,7072
741,7091
742,7210
743,7212
744,7216
745,7217
746,7395
747,7579
748,7614
749,7675
750,7706
751,7787
752,7831
753,7832
754,7833
755,7834
756,7835
757,7840
758,8167
759,8291
760,8401
761,8404
762,8636
763,8695
764,8711
765,8712
766,8970
767,25827
768,26084
769,32371
770,14
771,16
772,17
773,30
774,31
775,36
776,39
777,58
778,85
779,95
780,125
781,147
782,161
783,184
784,202
785,215
786,218
787,222
788,224
789,232
790,235
791,247
792,261
793,265
794,266
795,306
796,307
797,308
798,309
799,326
800,329
801,342
802,345
803,349
804,372
805,412
806,417
807,431
808,446
809,448
810,466
811,508
812,509
813,515
814,535
815,538
816,550
817,555
818,707
819,780
820,807
821,277
822,762
823,910
824,1120
825,1276
826,1375
827,1747
828,2278
829,2407
830,3255
831,374
832,383
833,870
834,1862
835,2034
836,2192
837,2305
838,3418
839,3646
840,3755
841,5420
842,5444
843,5449
844,5463
845,5502
846,5507
847,5513
848,5556
849,5572
850,5785
851,5810
852,5816
853,6011
854,6
855,7
856,41
857,48
858,55
859,94
860,97
861,123
862,151
863,156
864,162
865,176
866,194
867,196
868,198
869,206
870,208
871,217
872,233
873,302
874,313
875,327
876,339
877,373
878,436
879,455
880,468
881,469
882,474
883,492
884,496
885,507
886,514
887,517
888,521
889,533
890,540
891,546
892,556
893,565
894,566
895,574
896,581
897,605
898,628
899,648
900,661
901,665
902,678
903,680
904,714
905,757
906,766
907,783
908,800
909,803
910,804
911,848
912,866
913,888
914,900
915,915
916,921
917,922
918,923
919,924
920,926
921,927
922,965
923,1013
924,1051
925,1057
926,1059
927,1060
928,1064
929,1077
930,1078
931,1084
932,1090
933,1092
934,1093
935,1094
936,1101
937,1171
938,1176
939,1178
940,1179
941,1183
942,1184
943,1188
944,1190
945,1191
946,1192
947,1204
948,1211
949,1212
950,1222
951,1223
952,1224
953,1228
954,1230
955,1242
956,1245
957,1248
958,1249
959,1252
960,1253
961,1260
962,1264
963,1266
964,1267
965,1273
966,1279
967,1282
968,1284
969,1288
970,1289
971,1299
972,1300
973,1304
974,1306
975,1339
976,1344
977,1346
978,1377
979,1393
980,1413
981,1415
982,1483
983,1537
984,1566
985,1569
986,1572
987,1580
988,1594
989,1635
990,1639
991,1648
992,1649
993,1673
994,1674
995,1680
996,1690
997,1694
998,1719
999,1729
1000,1734
1001,1757
1002,1845
1003,1889
1004,1916
1005,1921
1006,1924
1007,1945
1008,1959
1009,1960
1010,2000
1011,2009
1012,2025
1013,2033
1014,2064
1015,2065
1016,2066
1017,2092
1018,2112
1019,2117
1020,2124
1021,2130
1022,2132
1023,2135
1024,2146
1025,2165
1026,2171
1027,2186
1028,2194
1029,2203
1030,2243
1031,2262
1032,2289
1033,2300
1034,2303
1035,2333
1036,2349
1037,2366
1038,2367
1039,2369
1040,2376
1041,2391
1042,2394
1043,2396
1044,2405
1045,2427
1046,2454
1047,2474
1048,2476
1049,2488
1050,2529
1051,2539
1052,2581
1053,2585
1054,2600
1055,2640
1056,2657
1057,2664
1058,2674
1059,2683
1060,2687
1061,2692
1062,2704
1063,2729
1064,2731
1065,2732
1066,2747
1067,2773
1068,2836
1069,2843
1070,2857
1071,2859
1072,2863
1073,2885
1074,2891
1075,2894
1076,2908
1077,2916
1078,2917
1079,2919
1080,2939
1081,2940
1082,2942
1083,2944
1084,2952
1085,2971
1086,2972
1087,2973
1088,2987
1089,2993
1090,3015
1091,3030
1092,3036
1093,3038
1094,3054
1095,3055
1096,3067
1097,3070
1098,3083
1099,3091
1100,3099
1101,3127
1102,3148
1103,3159
1104,3160
1105,3168
1106,3181
1107,3201
1108,3256
1109,3257
1110,3267
1111,3296
1112,3319
1113,3328
1114,3355
1115,3358
1116,3360
1117,3363
1118,3365
1119,3422
1120,3424
1121,3430
1122,3435
