,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15
epoch_0,uid_128088,1203,858,5618,215,1610,2064,3000,678,2019,55820,1234,3089,3507,1207,106100
epoch_0,uid_267455,1203,318,2019,527,1211,904,1617,50,1136,1276,4973,1198,1262,541,750
epoch_0,uid_73381,4973,1276,904,912,1204,1256,3730,7361,1203,3949,1250,1262,4848,1244,5971
epoch_0,uid_117628,1203,5618,904,2019,44555,2804,912,1617,356,1732,1262,2959,1193,2324,3911
epoch_0,uid_21453,260,296,527,1276,1210,1196,79132,318,904,2019,110,1198,899,4848,1291
epoch_0,uid_229622,2019,2959,1203,1276,2329,2289,2324,1250,913,1198,1256,1281,44555,1291,4878
epoch_0,uid_167368,2019,50,902,1203,6016,2542,2324,4973,2186,950,508,34405,68237,2268,3578
epoch_0,uid_21772,1203,2324,3000,4848,1198,1262,1260,1259,750,48516,1207,2019,1206,6016,1209
epoch_0,uid_176555,904,908,1148,2959,48516,50,1211,1256,1230,1201,3996,903,260,2324,1250
epoch_0,uid_166868,1196,1203,2019,541,1214,48516,1276,1197,68237,318,2571,5618,904,3000,2329
epoch_0,uid_51695,527,318,2571,1256,50,1214,4973,3000,1250,34405,47,2019,1198,923,1276
epoch_0,uid_282217,1276,2571,306,356,50,900,2019,1250,112552,2819,2289,2918,2028,1200,318
epoch_0,uid_188391,50,5291,1193,306,750,919,1204,1250,1256,109374,912,908,541,902,2324
epoch_0,uid_246431,4848,318,1234,904,1276,1233,1203,1250,68237,527,5618,1260,1136,1209,5291
epoch_0,uid_92775,904,912,750,1207,1203,1276,908,2019,318,1233,134130,1193,1250,50,1204
epoch_0,uid_221239,1203,904,2329,2019,44555,1262,2324,508,2959,950,5291,50,1276,457,34405
epoch_0,uid_148267,50,1203,778,904,2019,2132,1276,2324,5291,750,1256,318,2959,908,1221
epoch_0,uid_26118,6957,1214,134130,6350,1250,912,1036,5878,953,1193,2019,1276,4251,2791,1263
epoch_0,uid_175652,318,1136,858,908,2019,1193,912,904,5618,68237,2132,2804,134130,1617,665
epoch_0,uid_120855,912,5618,1244,1394,1235,1278,908,6016,5060,1262,1172,1211,1127,1223,914
epoch_0,uid_99370,858,1203,260,2959,31410,318,1250,1210,527,4848,4226,480,1278,2571,2019
