,,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70
epoch_0,uid_128088,1250,1196,1276,1136,858,1233,1203,1222,1293,3030,900,1201,2132,306,1089,5618,1446,1172,2324,134130,5782,109374,33166,1278,1267,908,260,57669,919,1204,910,3916,1228,930,2289,2951,1090,541,2804,3020,1200,1199,1256,446,2993,5971,1361,7090,337,7099,924,4848,166643,945,58559,1237,68237,3022,720,940,3148,951,67255,84152,5995,55820,1845,1220,30803,1175
epoch_0,uid_267455,318,1276,260,50,1203,899,1234,4973,1213,527,1228,1258,910,2019,2132,2324,48516,1204,1233,1,67255,953,908,1136,912,1209,858,1250,904,2318,1200,1500,1198,1210,86504,81845,3030,593,53519,1193,1446,34405,1732,7153,3508,33166,541,1221,919,924,1243,1262,296,1089,1293,1270,3730,2289,111,1952,56782,4848,4993,1264,665,1968,142488,1237,4995,27317
epoch_0,uid_73381,924,1211,1203,2019,1234,953,1217,904,3000,3435,1233,2959,1276,940,930,1250,750,1256,2132,7090,2542,908,306,293,1207,903,1221,3030,2905,2858,4995,50,26614,1283,3429,1213,162,950,3949,899,1884,44555,1237,319,7327,4902,3147,720,1260,1209,72641,3089,1284,164179,215,2329,3508,34405,1218,3629,4848,2300,2289,2795,912,4011,6016,910,40819,4027
epoch_0,uid_117628,318,1203,910,7090,541,1304,899,1222,858,50,1213,930,1089,68157,2542,1262,1259,924,908,1207,2804,2959,1617,44555,2324,55820,1206,1237,2132,1278,4848,4973,2019,1276,296,4011,1201,923,5618,1211,1233,3030,1234,1193,1217,50685,1281,527,2329,5995,912,86504,741,1136,215,1283,3435,2819,4641,1230,3000,778,6016,1266,1208,164179,48738,1172,1263,111
epoch_0,uid_21453,858,1193,2019,912,541,1233,296,1237,1207,908,904,5291,306,2571,1230,2959,4848,608,3000,4993,2542,1221,1201,3435,1198,3030,2132,2863,56782,50,1250,1283,5995,109487,4973,902,5225,44555,6350,1213,1262,1263,5147,1258,3578,1089,48780,5952,34405,899,1225,924,942,599,1276,6539,2804,356,4641,79132,68237,951,260,1291,922,7153,1172,142488,1234,913
epoch_0,uid_229622,750,1276,541,1211,3578,2289,1219,5618,1203,2019,33166,908,1136,904,1172,924,527,3435,50,3030,930,3996,1256,47610,1234,4848,319,1201,296,900,1193,1250,1230,1262,2324,2336,3911,3949,1228,318,1500,1217,903,3503,2858,965,4011,4902,1237,2959,2542,3317,5995,53519,2028,1221,800,111,954,1204,6016,1208,2804,4027,1233,3429,68237,31658,720,1797
epoch_0,uid_167368,1213,44555,1214,4973,858,3578,899,527,2804,908,2324,913,2959,5618,3435,2571,48516,1228,4848,1172,318,3000,919,79132,5971,7090,142488,3949,1945,68237,1222,5995,50,1200,1203,750,109374,7153,296,215,1283,953,2064,4878,1221,293,1209,2467,608,5878,904,3147,912,152081,3911,49272,1237,1207,2019,599,1732,3503,593,6016,7099,109487,2858,1704,4327,2863
epoch_0,uid_21772,260,1203,904,2019,1250,5618,318,1234,2858,50,2692,1198,912,1211,858,1617,4848,1207,1259,1233,4105,1196,1193,34405,1291,44555,1283,3020,1304,2959,2542,2762,1500,1225,356,1288,908,1228,1265,5291,1148,2329,3730,750,945,2324,1197,2571,56782,69844,1136,1,4011,7153,1270,4027,1036,593,3435,48516,63082,1089,296,1210,1221,2791,2132,1204,3468,1262
epoch_0,uid_176555,1089,7090,2571,3730,2324,4011,307,541,50,47,33166,1221,3030,2019,1233,2028,5995,2329,5291,899,910,2843,1148,1250,1257,306,8917,1281,446,1201,913,1237,1199,902,1258,260,5618,1260,3147,2132,1256,48394,1211,2692,5690,940,5971,2020,2858,1446,1189,7361,800,1175,2318,1136,3911,4878,924,1206,665,2908,904,26614,53519,3468,3022,7156,49272,908
epoch_0,uid_166868,318,527,7090,1206,593,33166,1276,908,296,5618,1237,2324,912,44555,4848,53519,1945,4973,1256,1250,1247,2019,7153,1262,2959,1209,2542,73,5971,1222,5291,47,1254,1198,260,1193,265,4327,215,1230,910,924,950,1213,1204,904,1259,1203,1211,3911,3435,50,48394,4011,919,109374,4878,905,953,778,2571,2132,1303,88125,48780,1293,1260,38061,2858,1283
